Tema: Investimento do Governo Federal;
Subtematema: Investimentos do Governo Federal por Grupo de Despesa (GND) e Função;
Série: Função Previdência Social;
Unidade: R$ Milhões;
Periodicidade: Mensal;
Data;Valor
01/05/2023;1,25
01/04/2023;2,2
01/03/2023;1,32
01/02/2023;1,46
01/01/2023;1,15
01/12/2022;3,26
01/11/2022;2,6
01/10/2022;0,52
01/09/2022;0,45
01/08/2022;0,67
01/07/2022;2,02
01/06/2022;1,59
01/05/2022;3,06
01/04/2022;2,34
01/03/2022;1,81
01/02/2022;2,79
01/01/2022;0,21
01/12/2021;0,27
01/11/2021;2,49
01/10/2021;1,59
01/09/2021;1,6
01/08/2021;3,14
01/07/2021;0,48
01/06/2021;2,37
01/05/2021;1,36
01/04/2021;0,69
01/03/2021;0,97
01/02/2021;0,17
01/01/2021;0,11
01/12/2020;0,01
01/11/2020;0,03
01/10/2020;0,16
01/09/2020;0,23
01/08/2020;0,9
01/07/2020;0,7
01/06/2020;0,49
01/05/2020;0,23
01/04/2020;0,99
01/03/2020;0,39
01/02/2020;0,25
01/01/2020;0,38
01/12/2019;1,67
01/11/2019;1,57
01/10/2019;1,14
01/09/2019;3,71
01/08/2019;2,23
01/07/2019;6,16
01/06/2019;5,57
01/05/2019;4,6
01/04/2019;4,22
01/03/2019;2,72
01/02/2019;1,54
01/01/2019;0,78
01/12/2018;3,15
01/11/2018;2,85
01/10/2018;1,88
01/09/2018;2,5
01/08/2018;2,93
01/07/2018;1,73
01/06/2018;2,71
01/05/2018;2,91
01/04/2018;7,6
01/03/2018;5,26
01/02/2018;4,17
01/01/2018;2,43
01/12/2017;4,49
01/11/2017;0,8
01/10/2017;2,72
01/09/2017;6,38
01/08/2017;0,27
01/07/2017;11,81
01/06/2017;5,63
01/05/2017;7,98
01/04/2017;4,26
01/03/2017;5,94
01/02/2017;1,66
01/01/2017;1,33
01/12/2016;1,58
01/11/2016;1,17
01/10/2016;1,95
01/09/2016;0,7
01/08/2016;1,25
01/07/2016;0,52
01/06/2016;0,44
01/05/2016;3,03
01/04/2016;1,44
01/03/2016;1,36
01/02/2016;2,65
01/01/2016;0,34
01/12/2015;1,34
01/11/2015;2,29
01/10/2015;5,75
01/09/2015;5,7
01/08/2015;1,75
01/07/2015;6,96
01/06/2015;7
01/05/2015;2,76
01/04/2015;2,69
01/03/2015;8,96
01/02/2015;1,9
01/01/2015;4,97
01/12/2014;15,42
01/11/2014;11,48
01/10/2014;22,12
01/09/2014;15,22
01/08/2014;28,56
01/07/2014;25,52
01/06/2014;18,4
01/05/2014;14,04
01/04/2014;10,11
01/03/2014;5,38
01/02/2014;10,66
01/01/2014;7,2
01/12/2013;12,51
01/11/2013;11,46
01/10/2013;7,62
01/09/2013;18,87
01/08/2013;6,21
01/07/2013;14,04
01/06/2013;13,51
01/05/2013;8,97
01/04/2013;12,18
01/03/2013;14,28
01/02/2013;9,64
01/01/2013;9,95
01/12/2012;17,38
01/11/2012;13,13
01/10/2012;10,17
01/09/2012;5,78
01/08/2012;11,14
01/07/2012;7,39
01/06/2012;8,11
01/05/2012;6
01/04/2012;7,77
01/03/2012;14,87
01/02/2012;2
01/01/2012;7,07
01/12/2011;16,02
01/11/2011;6,49
01/10/2011;4,79
01/09/2011;9,81
01/08/2011;12,59
01/07/2011;29,57
01/06/2011;31,81
01/05/2011;11,92
01/04/2011;20,29
01/03/2011;16,19
01/02/2011;4,25
01/01/2011;11,86
01/12/2010;40,71
01/11/2010;13,77
01/10/2010;17,76
01/09/2010;44,21
01/08/2010;28,15
01/07/2010;36,43
01/06/2010;30,69
01/05/2010;34,9
01/04/2010;31,22
01/03/2010;40,4
01/02/2010;21,38
01/01/2010;10,3
01/12/2009;18,35
01/11/2009;9,38
01/10/2009;9,62
01/09/2009;8,04
01/08/2009;5,72
01/07/2009;12,06
01/06/2009;7,64
01/05/2009;17,43
01/04/2009;20,74
01/03/2009;11,35
01/02/2009;6,79
01/01/2009;4,62
01/12/2008;7,79
01/11/2008;5,39
01/10/2008;4,67
01/09/2008;8,42
01/08/2008;8,2
01/07/2008;7,79
01/06/2008;3,41
01/05/2008;9,04
01/04/2008;6,55
01/03/2008;6,44
01/02/2008;4,12
01/01/2008;3,84
